,date,departure_delay,arrival_delay,open,high,low,close,volume,state,city,success,suicide
0,2015-01-01,9.61,5.35,,,,,,,,,
1,2015-01-02,12.65,9.84,82.8,83.43,81.65,82.49,1477334403.0,,,,
2,2015-01-03,25.17,25.46,,,,,,,,,
3,2015-01-04,31.57,31.98,,,,,,,,,
4,2015-01-05,21.12,18.81,82.06,82.53,80.57,81.05,2180602024.0,,,,
5,2015-01-06,22.49,21.3,81.19,81.82,79.57,80.28,2579398620.0,Colorado,Colorado Springs,1.0,0.0
6,2015-01-07,14.52,11.96,80.92,81.92,80.19,81.34,2139799130.0,,,,
7,2015-01-08,16.4,13.32,81.91,83.13,81.44,82.67,2241965877.0,,,,
8,2015-01-09,15.37,12.26,82.76,83.15,81.51,82.03,1838031371.0,,,,
9,2015-01-10,8.2,1.92,,,,,,,,,
10,2015-01-11,13.63,10.19,,,,,,,,,
11,2015-01-12,19.57,18.56,82.11,82.47,80.78,81.41,1943919705.0,,,,
12,2015-01-13,6.63,3.16,82.03,82.98,80.48,81.26,2324653664.0,,,,
13,2015-01-14,4.29,-0.82,80.39,81.43,79.64,80.9,2550459383.0,,,,
14,2015-01-15,6.42,1.65,81.2,81.74,79.82,80.19,2444082269.0,,,,
15,2015-01-16,5.74,0.92,80.08,81.5,79.63,81.3,2523561510.0,,,,
16,2015-01-17,2.16,-5.28,,,,,,,,,
17,2015-01-18,5.65,-0.31,,,,,,,,,
18,2015-01-19,3.86,-2.2,,,,,,,,,
19,2015-01-20,2.92,-2.18,81.59,82.17,80.34,81.39,2354356326.0,,,,
20,2015-01-21,5.37,2.29,81.23,82.41,80.74,81.89,2212981053.0,,,,
21,2015-01-22,4.48,-0.06,82.25,83.47,81.34,83.1,2531188162.0,,,,
22,2015-01-23,3.98,-0.17,83.01,83.72,82.24,82.78,2030529494.0,,,,
23,2015-01-24,3.85,-0.68,,,,,,,,,
24,2015-01-25,4.44,-0.64,,,,,,,,,
25,2015-01-26,5.61,2.08,82.68,83.54,81.97,83.17,1989552562.0,,,,
26,2015-01-27,-0.16,-6.71,82.32,83.19,81.59,82.36,2282249295.0,,,,
27,2015-01-28,1.69,-4.75,82.82,83.37,81.11,81.3,2541845555.0,,,,
28,2015-01-29,3.84,-0.83,81.36,82.42,80.37,82.03,2449881973.0,,,,
29,2015-01-30,10.1,6.49,81.6,82.63,80.52,81.1,2885178340.0,,,,
30,2015-01-31,3.52,-3.23,,,,,,,,,
31,2015-02-01,13.89,10.03,,,,,,,,,
32,2015-02-02,19.54,17.54,81.3,82.22,80.0,81.86,2427812968.0,,,,
33,2015-02-03,11.39,8.47,82.2,83.35,81.51,83.0,2529833768.0,,,,
34,2015-02-04,10.14,7.89,82.52,83.49,81.69,82.5,2537781287.0,,,,
35,2015-02-05,14.66,12.49,82.79,83.87,82.17,83.33,2182865713.0,,,,
36,2015-02-06,6.71,0.59,83.43,84.12,82.22,82.85,2380590284.0,,,,
37,2015-02-07,1.98,-6.26,,,,,,,,,
38,2015-02-08,8.58,2.91,,,,,,,,,
39,2015-02-09,9.18,5.13,82.57,83.28,81.83,82.39,1917160531.0,,,,
40,2015-02-10,3.23,-2.15,82.86,83.72,82.11,83.34,2096131229.0,North Carolina,Chapel Hill,1.0,0.0
41,2015-02-11,2.51,-2.8,83.22,83.97,82.53,83.3,2009928482.0,,,,
42,2015-02-12,6.98,2.08,83.66,84.55,83.07,84.12,2210644117.0,,,,
43,2015-02-13,8.25,3.41,84.16,84.93,83.53,84.46,1986622400.0,,,,
44,2015-02-14,9.28,5.35,,,,,,,,,
45,2015-02-15,11.03,7.63,,,,,,,,,
46,2015-02-16,19.86,18.62,,,,,,,,,
47,2015-02-17,18.77,16.64,84.33,85.12,83.74,84.56,1973345068.0,Florida,Melbourne,1.0,0.0
48,2015-02-18,10.4,7.1,84.37,85.2,83.82,84.74,1844225762.0,Michigan,Kalamazoo,1.0,0.0
49,2015-02-19,11.6,7.89,84.72,85.61,84.09,84.96,1834258054.0,,,,
50,2015-02-20,12.69,9.08,84.87,85.83,84.18,85.53,2014963447.0,,,,
51,2015-02-21,13.83,12.79,,,,,,,,,
52,2015-02-22,19.69,17.33,,,,,,,,,
53,2015-02-23,13.93,10.11,85.43,86.06,84.79,85.52,1761194847.0,Ohio,Kent,1.0,0.0
54,2015-02-24,15.45,11.14,85.45,86.14,84.8,85.57,1883585080.0,,,,
55,2015-02-25,11.3,9.31,85.55,86.38,84.94,85.68,1874751232.0,,,,
56,2015-02-26,21.2,20.14,85.63,86.27,84.83,85.49,2051231632.0,,,,
57,2015-02-27,14.0,11.81,85.53,86.07,84.81,85.23,2014650790.0,,,,
58,2015-02-28,12.8,8.69,,,,,,,,,
59,2015-03-01,25.7,25.9,,,,,,,,,
60,2015-03-02,20.68,17.59,85.26,86.34,84.78,85.9,1911663528.0,,,,
61,2015-03-03,19.52,20.32,85.71,86.22,84.8,85.53,1804481321.0,,,,
62,2015-03-04,12.09,8.97,85.22,85.74,84.35,85.08,1868239786.0,,,,
63,2015-03-05,20.88,18.82,85.26,85.96,84.72,85.44,1704547326.0,,,,
64,2015-03-06,17.23,12.34,84.96,85.53,83.78,84.16,2324090614.0,,,,
65,2015-03-07,7.47,1.18,,,,,,,,,
66,2015-03-08,7.95,2.73,,,,,,,,,
67,2015-03-09,7.52,1.5,84.36,85.12,83.88,84.64,1824773590.0,Nevada,Reno,1.0,0.0
68,2015-03-10,5.61,0.19,83.95,84.43,83.06,83.34,2162715364.0,,,,
69,2015-03-11,6.48,1.61,83.46,84.11,82.82,83.34,1991037146.0,,,,
70,2015-03-12,6.98,2.59,83.73,84.84,83.34,84.47,2098101005.0,,,,
71,2015-03-13,6.53,1.8,84.29,84.84,83.21,83.99,1989802665.0,,,,
72,2015-03-14,7.34,1.59,,,,,,,,,
73,2015-03-15,8.83,2.99,,,,,,,,,
74,2015-03-16,3.57,-4.33,84.38,85.57,84.03,85.22,1842551007.0,,,,
75,2015-03-17,6.05,0.14,84.82,85.48,84.25,84.98,1892293639.0,,,,
76,2015-03-18,5.73,-0.16,84.79,86.48,84.05,86.02,2479344652.0,,,,
77,2015-03-19,4.75,-0.28,85.85,86.49,85.13,85.82,1942919597.0,,,,
78,2015-03-20,12.41,9.72,86.34,87.27,85.74,86.66,3389516176.0,Louisiana,New Orleans,1.0,0.0
79,2015-03-21,8.01,2.68,,,,,,,,,
80,2015-03-22,6.52,2.13,,,,,,,,,
81,2015-03-23,20.46,16.25,86.44,87.14,85.81,86.24,1825866548.0,,,,
82,2015-03-24,4.92,-0.75,86.17,86.79,85.46,85.79,1810415443.0,,,,
83,2015-03-25,7.98,4.0,85.93,86.36,84.28,84.45,2161555068.0,,,,
84,2015-03-26,11.37,8.53,84.14,84.99,83.41,84.3,2221909285.0,,,,
85,2015-03-27,10.56,6.63,84.29,85.2,83.84,84.68,1806995833.0,,,,
86,2015-03-28,6.37,-1.18,,,,,,,,,
87,2015-03-29,5.27,-2.05,,,,,,,,,
88,2015-03-30,6.31,0.08,85.18,86.13,84.76,85.68,1718823199.0,,,,
89,2015-03-31,3.47,-2.3,85.36,86.1,84.69,85.06,1945419076.0,,,,
90,2015-04-01,4.8,-0.34,84.98,85.44,83.77,84.65,2108382822.0,,,,
91,2015-04-02,7.79,4.61,84.66,85.55,84.12,84.9,1705826876.0,,,,
92,2015-04-03,7.84,3.33,,,,,,,,,
93,2015-04-04,5.66,-0.39,,,,,,,,,
94,2015-04-05,3.89,-1.7,,,,,,,,,
95,2015-04-06,3.78,-1.31,84.53,86.04,84.22,85.51,1824717667.0,,,,
96,2015-04-07,5.25,1.54,85.58,86.25,84.91,85.19,1635467076.0,,,,
97,2015-04-08,9.73,7.29,85.28,86.22,84.79,85.63,1784549549.0,,,,
98,2015-04-09,22.57,21.03,85.6,86.32,84.91,85.8,1698700851.0,,,,
99,2015-04-10,19.22,16.76,85.97,86.56,85.36,86.09,1881696977.0,,,,
100,2015-04-11,5.48,-1.61,,,,,,,,,
101,2015-04-12,4.96,-0.25,,,,,,,,,
102,2015-04-13,12.71,8.85,86.04,86.75,85.44,85.76,1730097763.0,,,,
103,2015-04-14,4.99,0.27,85.71,86.38,85.01,85.83,1746332180.0,,,,
104,2015-04-15,5.2,0.24,86.09,86.86,85.46,86.11,2053613073.0,,,,
105,2015-04-16,10.27,8.04,86.03,86.7,85.4,86.07,1939609555.0,,,,
106,2015-04-17,10.28,5.86,85.46,85.94,84.46,85.07,2320958458.0,,,,
107,2015-04-18,5.19,-1.0,,,,,,,,,
108,2015-04-19,7.07,2.45,,,,,,,,,
109,2015-04-20,16.53,13.45,85.47,86.35,85.06,85.79,1854696660.0,,,,
110,2015-04-21,4.51,-1.01,86.09,86.68,85.29,85.85,2009732746.0,,,,
111,2015-04-22,3.82,-1.2,85.88,86.58,85.09,86.07,1958608264.0,,,,
112,2015-04-23,5.42,0.8,85.92,86.94,85.46,86.36,2196146393.0,,,,
113,2015-04-24,13.69,11.04,86.52,87.14,85.7,86.4,2034765118.0,,,,
114,2015-04-25,8.73,4.49,,,,,,,,,
115,2015-04-26,4.56,-0.35,,,,,,,,,
116,2015-04-27,7.36,2.64,86.63,87.14,85.47,85.87,2242583669.0,,,,
117,2015-04-28,3.13,-3.2,85.68,86.44,84.77,85.82,2146115587.0,,,,
118,2015-04-29,1.64,-5.37,85.4,86.32,84.47,85.33,2295378264.0,,,,
119,2015-04-30,4.37,-2.05,85.14,85.84,83.84,84.43,2412521455.0,,,,
120,2015-05-01,3.4,-3.69,84.82,85.88,84.32,85.44,1948609021.0,,,,
121,2015-05-02,2.03,-6.12,,,,,,,,,
122,2015-05-03,5.11,-1.34,,,,,,Texas,Garland,1.0,0.0
123,2015-05-04,6.1,0.2,85.64,86.46,85.15,85.74,1710562153.0,,,,
124,2015-05-05,3.49,-1.84,85.59,86.11,84.32,84.64,2119898430.0,,,,
125,2015-05-06,5.74,0.56,84.9,85.37,83.72,84.44,2145165870.0,,,,
126,2015-05-07,5.3,0.84,84.43,85.43,83.79,84.8,1983406016.0,,,,
127,2015-05-08,11.85,8.26,85.62,86.53,85.04,85.8,1984366927.0,,,,
128,2015-05-09,10.61,6.29,,,,,,,,,
129,2015-05-10,16.46,12.83,,,,,,,,,
130,2015-05-11,15.92,12.32,85.75,86.41,85.03,85.42,1750884938.0,,,,
131,2015-05-12,5.2,-0.37,84.91,85.61,84.22,85.17,1740923637.0,,,,
132,2015-05-13,5.7,0.69,85.33,86.0,84.59,85.08,1858865696.0,,,,
133,2015-05-14,6.36,0.82,85.52,86.31,84.94,85.94,1844554613.0,,,,
134,2015-05-15,7.86,3.25,86.05,86.61,85.37,86.08,1810275446.0,,,,
135,2015-05-16,4.82,-0.47,,,,,,,,,
136,2015-05-17,11.35,6.14,,,,,,,,,
137,2015-05-18,20.89,19.01,85.93,86.78,85.59,86.45,1596586882.0,,,,
138,2015-05-19,12.08,7.85,86.47,87.07,85.85,86.43,1803405333.0,,,,
139,2015-05-20,8.85,3.66,86.47,87.01,85.77,86.35,1779387353.0,,,,
140,2015-05-21,10.19,5.44,86.27,87.04,85.84,86.57,1731028134.0,,,,
141,2015-05-22,6.28,0.73,86.46,87.1,85.99,86.43,1476453584.0,,,,
142,2015-05-23,5.32,-0.75,,,,,,,,,
143,2015-05-24,3.03,-3.97,,,,,,,,,
144,2015-05-25,11.16,6.62,,,,,,,,,
145,2015-05-26,20.34,16.6,86.2,86.51,85.14,85.54,1932816264.0,,,,
146,2015-05-27,19.95,16.46,85.7,86.6,85.26,86.21,1811676145.0,,,,
147,2015-05-28,9.56,5.2,86.06,86.6,85.42,86.05,1606885725.0,,,,
148,2015-05-29,8.8,3.68,86.02,86.54,85.0,85.51,2302558172.0,,,,
149,2015-05-30,8.16,2.26,,,,,,,,,
150,2015-05-31,18.15,14.04,,,,,,,,,
151,2015-06-01,17.5,14.12,85.77,86.34,84.97,85.71,1787210450.0,,,,
152,2015-06-02,10.43,4.8,85.49,86.34,84.89,85.71,1705192335.0,,,,
153,2015-06-03,5.26,-0.41,85.88,86.5,85.21,85.84,1786368002.0,,,,
154,2015-06-04,6.3,0.71,85.37,86.05,84.73,85.16,1900924565.0,,,,
155,2015-06-05,9.48,4.31,85.02,85.71,84.35,85.15,1902213929.0,,,,
156,2015-06-06,4.24,-2.92,,,,,,,,,
157,2015-06-07,9.44,4.5,,,,,,,,,
158,2015-06-08,15.49,11.96,85.07,85.5,84.28,84.54,1742608528.0,,,,
159,2015-06-09,16.86,12.65,83.65,84.22,83.03,84.5,1783810829.0,,,,
160,2015-06-10,12.2,8.16,84.8,85.88,84.42,85.45,1976819703.0,,,,
161,2015-06-11,13.52,9.99,85.66,86.24,85.17,85.68,1745311496.0,,,,
162,2015-06-12,14.18,11.51,85.35,85.79,84.76,85.17,1499123443.0,,,,
163,2015-06-13,11.06,5.32,,,,,,,,,
164,2015-06-14,13.5,9.74,,,,,,,,,
165,2015-06-15,24.47,21.21,84.64,85.32,83.98,84.79,1743053400.0,,,,
166,2015-06-16,20.51,16.56,84.71,85.59,84.38,85.22,1512577323.0,,,,
167,2015-06-17,22.99,18.41,85.4,86.02,84.69,85.43,1766063796.0,South Carolina,Charleston,1.0,0.0
168,2015-06-18,23.05,21.59,85.66,86.8,85.37,86.33,2006634045.0,,,,
169,2015-06-19,14.5,9.6,86.23,86.8,85.62,86.02,2610064204.0,,,,
170,2015-06-20,13.65,9.34,,,,,,,,,
171,2015-06-21,13.19,7.86,,,,,,,,,
172,2015-06-22,14.49,9.3,86.54,87.07,85.89,86.4,1739598518.0,Tennessee,Knoxville,1.0,0.0
173,2015-06-23,17.82,12.93,86.53,87.0,85.83,86.38,1716915015.0,Georgia,Macon,1.0,0.0
174,2015-06-24,16.5,11.71,86.23,86.64,85.35,85.61,1915836310.0,North Carolina,Charlotte,1.0,0.0
175,2015-06-25,12.87,8.62,85.8,86.35,85.02,85.42,1802460902.0,,,,
176,2015-06-26,14.65,12.03,85.64,86.15,84.86,85.42,2873914446.0,South Carolina,Warrenville,1.0,0.0
177,2015-06-27,15.75,12.21,,,,,,,,,
178,2015-06-28,12.4,7.08,,,,,,,,,
179,2015-06-29,7.97,2.69,84.65,85.27,83.4,83.57,2127817074.0,,,,
180,2015-06-30,14.16,11.05,84.31,84.82,83.4,83.97,2199840263.0,,,,
181,2015-07-01,16.7,12.59,84.55,85.21,83.69,84.49,1996963893.0,,,,
182,2015-07-02,11.99,8.05,84.68,85.15,83.87,84.41,1648163393.0,,,,
183,2015-07-03,8.21,1.74,,,,,,,,,
184,2015-07-04,1.46,-6.17,,,,,,,,,
185,2015-07-05,6.9,1.8,,,,,,,,,
