date,open,high,low,close,volume
2015-01-02,82.8,83.43,81.65,82.49,1477334403
2015-01-05,82.06,82.53,80.57,81.05,2180602024
2015-01-06,81.19,81.82,79.57,80.28,2579398620
2015-01-07,80.92,81.92,80.19,81.34,2139799130
2015-01-08,81.91,83.13,81.44,82.67,2241965877
2015-01-09,82.76,83.15,81.51,82.03,1838031371
2015-01-12,82.11,82.47,80.78,81.41,1943919705
2015-01-13,82.03,82.98,80.48,81.26,2324653664
2015-01-14,80.39,81.43,79.64,80.9,2550459383
2015-01-15,81.2,81.74,79.82,80.19,2444082269
2015-01-16,80.08,81.5,79.63,81.3,2523561510
2015-01-20,81.59,82.17,80.34,81.39,2354356326
2015-01-21,81.23,82.41,80.74,81.89,2212981053
2015-01-22,82.25,83.47,81.34,83.1,2531188162
2015-01-23,83.01,83.72,82.24,82.78,2030529494
2015-01-26,82.68,83.54,81.97,83.17,1989552562
2015-01-27,82.32,83.19,81.59,82.36,2282249295
2015-01-28,82.82,83.37,81.11,81.3,2541845555
2015-01-29,81.36,82.42,80.37,82.03,2449881973
2015-01-30,81.6,82.63,80.52,81.1,2885178340
2015-02-02,81.3,82.22,80.0,81.86,2427812968
2015-02-03,82.2,83.35,81.51,83.0,2529833768
2015-02-04,82.52,83.49,81.69,82.5,2537781287
2015-02-05,82.79,83.87,82.17,83.33,2182865713
2015-02-06,83.43,84.12,82.22,82.85,2380590284
2015-02-09,82.57,83.28,81.83,82.39,1917160531
2015-02-10,82.86,83.72,82.11,83.34,2096131229
2015-02-11,83.22,83.97,82.53,83.3,2009928482
2015-02-12,83.66,84.55,83.07,84.12,2210644117
2015-02-13,84.16,84.93,83.53,84.46,1986622400
2015-02-17,84.33,85.12,83.74,84.56,1973345068
2015-02-18,84.37,85.2,83.82,84.74,1844225762
2015-02-19,84.72,85.61,84.09,84.96,1834258054
2015-02-20,84.87,85.83,84.18,85.53,2014963447
2015-02-23,85.43,86.06,84.79,85.52,1761194847
2015-02-24,85.45,86.14,84.8,85.57,1883585080
2015-02-25,85.55,86.38,84.94,85.68,1874751232
2015-02-26,85.63,86.27,84.83,85.49,2051231632
2015-02-27,85.53,86.07,84.81,85.23,2014650790
2015-03-02,85.26,86.34,84.78,85.9,1911663528
2015-03-03,85.71,86.22,84.8,85.53,1804481321
2015-03-04,85.22,85.74,84.35,85.08,1868239786
2015-03-05,85.26,85.96,84.72,85.44,1704547326
2015-03-06,84.96,85.53,83.78,84.16,2324090614
2015-03-09,84.36,85.12,83.88,84.64,1824773590
2015-03-10,83.95,84.43,83.06,83.34,2162715364
2015-03-11,83.46,84.11,82.82,83.34,1991037146
2015-03-12,83.73,84.84,83.34,84.47,2098101005
2015-03-13,84.29,84.84,83.21,83.99,1989802665
2015-03-16,84.38,85.57,84.03,85.22,1842551007
2015-03-17,84.82,85.48,84.25,84.98,1892293639
2015-03-18,84.79,86.48,84.05,86.02,2479344652
2015-03-19,85.85,86.49,85.13,85.82,1942919597
2015-03-20,86.34,87.27,85.74,86.66,3389516176
2015-03-23,86.44,87.14,85.81,86.24,1825866548
2015-03-24,86.17,86.79,85.46,85.79,1810415443
2015-03-25,85.93,86.36,84.28,84.45,2161555068
2015-03-26,84.14,84.99,83.41,84.3,2221909285
2015-03-27,84.29,85.2,83.84,84.68,1806995833
2015-03-30,85.18,86.13,84.76,85.68,1718823199
2015-03-31,85.36,86.1,84.69,85.06,1945419076
2015-04-01,84.98,85.44,83.77,84.65,2108382822
2015-04-02,84.66,85.55,84.12,84.9,1705826876
2015-04-06,84.53,86.04,84.22,85.51,1824717667
2015-04-07,85.58,86.25,84.91,85.19,1635467076
2015-04-08,85.28,86.22,84.79,85.63,1784549549
2015-04-09,85.6,86.32,84.91,85.8,1698700851
2015-04-10,85.97,86.56,85.36,86.09,1881696977
2015-04-13,86.04,86.75,85.44,85.76,1730097763
2015-04-14,85.71,86.38,85.01,85.83,1746332180
2015-04-15,86.09,86.86,85.46,86.11,2053613073
2015-04-16,86.03,86.7,85.4,86.07,1939609555
2015-04-17,85.46,85.94,84.46,85.07,2320958458
2015-04-20,85.47,86.35,85.06,85.79,1854696660
2015-04-21,86.09,86.68,85.29,85.85,2009732746
2015-04-22,85.88,86.58,85.09,86.07,1958608264
2015-04-23,85.92,86.94,85.46,86.36,2196146393
2015-04-24,86.52,87.14,85.7,86.4,2034765118
2015-04-27,86.63,87.14,85.47,85.87,2242583669
2015-04-28,85.68,86.44,84.77,85.82,2146115587
2015-04-29,85.4,86.32,84.47,85.33,2295378264
2015-04-30,85.14,85.84,83.84,84.43,2412521455
2015-05-01,84.82,85.88,84.32,85.44,1948609021
2015-05-04,85.64,86.46,85.15,85.74,1710562153
2015-05-05,85.59,86.11,84.32,84.64,2119898430
2015-05-06,84.9,85.37,83.72,84.44,2145165870
2015-05-07,84.43,85.43,83.79,84.8,1983406016
2015-05-08,85.62,86.53,85.04,85.8,1984366927
2015-05-11,85.75,86.41,85.03,85.42,1750884938
2015-05-12,84.91,85.61,84.22,85.17,1740923637
2015-05-13,85.33,86.0,84.59,85.08,1858865696
2015-05-14,85.52,86.31,84.94,85.94,1844554613
2015-05-15,86.05,86.61,85.37,86.08,1810275446
2015-05-18,85.93,86.78,85.59,86.45,1596586882
2015-05-19,86.47,87.07,85.85,86.43,1803405333
2015-05-20,86.47,87.01,85.77,86.35,1779387353
2015-05-21,86.27,87.04,85.84,86.57,1731028134
2015-05-22,86.46,87.1,85.99,86.43,1476453584
2015-05-26,86.2,86.51,85.14,85.54,1932816264
2015-05-27,85.7,86.6,85.26,86.21,1811676145
2015-05-28,86.06,86.6,85.42,86.05,1606885725
2015-05-29,86.02,86.54,85.0,85.51,2302558172
2015-06-01,85.77,86.34,84.97,85.71,1787210450
2015-06-02,85.49,86.34,84.89,85.71,1705192335
2015-06-03,85.88,86.5,85.21,85.84,1786368002
2015-06-04,85.37,86.05,84.73,85.16,1900924565
2015-06-05,85.02,85.71,84.35,85.15,1902213929
2015-06-08,85.07,85.5,84.28,84.54,1742608528
2015-06-09,83.65,84.22,83.03,84.5,1783810829
2015-06-10,84.8,85.88,84.42,85.45,1976819703
2015-06-11,85.66,86.24,85.17,85.68,1745311496
2015-06-12,85.35,85.79,84.76,85.17,1499123443
2015-06-15,84.64,85.32,83.98,84.79,1743053400
2015-06-16,84.71,85.59,84.38,85.22,1512577323
2015-06-17,85.4,86.02,84.69,85.43,1766063796
2015-06-18,85.66,86.8,85.37,86.33,2006634045
2015-06-19,86.23,86.8,85.62,86.02,2610064204
2015-06-22,86.54,87.07,85.89,86.4,1739598518
2015-06-23,86.53,87.0,85.83,86.38,1716915015
2015-06-24,86.23,86.64,85.35,85.61,1915836310
2015-06-25,85.8,86.35,85.02,85.42,1802460902
2015-06-26,85.64,86.15,84.86,85.42,2873914446
2015-06-29,84.65,85.27,83.4,83.57,2127817074
2015-06-30,84.31,84.82,83.4,83.97,2199840263
2015-07-01,84.55,85.21,83.69,84.49,1996963893
2015-07-02,84.68,85.15,83.87,84.41,1648163393
2015-07-06,83.56,84.65,83.14,84.0,1882477496
2015-07-07,84.15,84.94,82.87,84.61,2438655346
2015-07-08,84.0,84.51,82.89,83.18,2106567658
2015-07-09,84.15,84.66,83.21,83.48,2016346330
2015-07-10,84.35,85.07,83.7,84.52,1751697289
2015-07-13,85.15,85.93,84.62,85.49,1791514794
2015-07-14,85.53,86.37,85.07,85.88,1854798409
2015-07-15,85.89,86.46,85.1,85.66,1998072367
2015-07-16,86.08,86.78,85.44,86.25,2052157912
2015-07-17,86.64,87.07,85.7,86.46,2014205117
2015-07-20,86.44,87.12,85.77,86.48,1918146532
2015-07-21,86.41,86.99,85.48,86.05,2057498540
2015-07-22,85.92,86.92,85.4,86.22,2330943067
2015-07-23,86.34,86.96,85.18,85.73,2283994854
2015-07-24,85.71,86.23,84.2,84.7,2265242563
2015-07-27,84.34,85.08,83.49,84.19,2306209451
2015-07-28,84.62,85.66,83.82,85.19,2340876020
2015-07-29,85.27,86.41,84.61,85.89,2315571449
2015-07-30,85.67,86.63,84.86,86.01,1984380147
2015-07-31,86.34,86.97,85.53,86.09,2051524948
2015-08-03,86.13,86.69,85.14,85.95,1958179217
2015-08-04,85.99,86.96,85.3,86.08,2081871515
2015-08-05,86.8,87.73,85.94,86.69,2296546993
2015-08-06,86.76,87.33,85.13,86.0,2384402131
2015-08-07,85.9,86.54,84.85,85.77,1939667910
2015-08-10,86.35,87.32,85.83,86.72,1850221812
2015-08-11,86.21,86.96,85.4,86.21,2051896129
2015-08-12,85.64,86.61,84.51,86.21,2435678915
2015-08-13,86.16,87.06,85.42,86.2,1810545278
2015-08-14,86.13,86.97,85.64,86.57,1596056286
2015-08-17,86.27,87.35,85.74,87.12,1535158393
2015-08-18,86.98,87.65,86.41,86.94,1645107696
2015-08-19,86.57,87.3,85.67,86.4,2028540956
2015-08-20,85.76,86.35,84.34,84.54,2429410545
2015-08-21,83.72,84.4,81.81,82.04,3346661901
2015-08-24,77.74,81.67,74.84,78.76,4607945196
2015-08-25,81.06,81.6,77.75,77.85,3513983554
2015-08-26,79.68,80.9,78.01,80.57,3491336054
2015-08-27,81.55,83.01,80.65,82.47,3089606345
2015-08-28,82.16,83.11,81.49,82.52,2381993919
2015-08-31,82.14,82.93,81.05,81.68,2260926252
2015-09-01,80.03,81.06,78.92,79.48,2792421756
2015-09-02,80.49,81.28,79.4,80.98,2305867397
2015-09-03,81.29,82.24,80.56,81.09,2049713778
2015-09-04,80.05,80.85,79.33,79.98,2061957998
2015-09-08,81.29,82.27,80.59,82.02,2151195888
2015-09-09,82.72,83.24,80.75,80.98,2151465625
2015-09-10,80.84,82.03,80.35,81.27,2109253763
2015-09-11,80.92,81.94,80.4,81.72,1816100370
2015-09-14,81.75,82.05,80.78,81.33,1687559288
2015-09-15,81.6,82.73,81.0,82.35,1912476432
2015-09-16,82.41,83.36,81.86,82.99,1990302545
2015-09-17,83.0,84.39,82.29,83.03,2430994277
2015-09-18,82.06,83.0,81.21,81.74,3962050449
2015-09-21,82.15,82.95,81.26,82.01,1936800494
2015-09-22,81.01,81.69,80.09,80.91,2267784374
2015-09-23,80.96,81.66,80.07,80.75,1744294943
2015-09-24,80.14,80.96,79.13,80.35,2338348904
2015-09-25,81.06,81.64,79.44,80.08,2246582165
2015-09-28,79.6,80.03,77.27,77.74,2578488431
2015-09-29,77.81,78.89,76.83,77.81,2471042581
2015-09-30,78.76,79.84,78.04,79.36,2567577737
2015-10-01,79.47,80.29,78.21,79.57,2360225358
2015-10-02,78.59,80.86,77.92,80.77,2605650654
2015-10-05,81.34,82.6,80.68,82.06,2397650459
2015-10-06,81.84,82.57,80.54,81.39,2318639417
2015-10-07,81.78,82.79,80.75,82.09,2466930909
2015-10-08,81.89,83.31,81.14,82.91,2163593126
2015-10-09,82.94,83.76,82.16,83.05,2025165279
2015-10-12,83.13,83.9,82.39,83.31,1516724515
2015-10-13,82.86,83.81,82.13,82.62,1850016001
2015-10-14,82.69,83.41,81.47,82.06,2225923611
2015-10-15,82.28,83.48,81.51,83.17,2277999917
2015-10-16,83.46,84.07,82.51,83.46,2220662529
2015-10-19,82.92,83.87,82.26,83.32,2022466590
2015-10-20,83.19,84.02,82.35,83.15,2030872298
2015-10-21,83.45,84.05,81.88,82.56,2187954863
2015-10-22,82.97,84.53,82.06,83.64,2796132507
2015-10-23,84.48,85.28,83.14,84.24,2605974506
2015-10-26,84.25,85.18,83.44,84.4,2031191918
2015-10-27,84.04,85.0,83.13,84.2,2271776935
2015-10-28,84.3,85.57,83.27,85.04,2506937591
2015-10-29,84.89,86.01,84.07,85.19,2141406451
2015-10-30,85.32,86.14,84.36,85.07,2492577256
2015-11-02,85.18,86.46,84.59,86.04,2160545896
2015-11-03,85.87,86.81,85.04,86.07,2267808166
2015-11-04,86.18,86.86,85.08,85.86,2347469142
2015-11-05,85.85,86.71,84.96,85.91,2264304701
2015-11-06,85.71,86.54,84.47,85.62,2532518944
2015-11-09,85.18,85.76,83.77,84.57,2293718171
2015-11-10,84.37,85.41,83.78,84.93,2206900946
2015-11-11,85.14,85.73,84.13,84.69,2076544370
2015-11-12,84.15,84.89,83.14,83.45,2384339908
2015-11-13,83.24,84.01,82.0,82.56,2567131782
2015-11-16,82.33,83.79,81.74,83.56,2306909525
2015-11-17,83.69,84.61,82.76,83.5,2535343581
2015-11-18,83.74,85.09,83.14,84.83,2331506397
2015-11-19,84.76,85.52,84.01,84.73,2107648426
2015-11-20,85.19,85.95,84.3,85.04,2310068558
2015-11-23,85.04,85.95,84.38,85.08,1989297068
2015-11-24,84.56,85.56,83.85,85.05,2217004900
2015-11-25,85.14,85.81,84.59,85.22,1564587019
2015-11-27,85.24,85.83,84.7,85.36,791154818
2015-11-30,85.47,85.99,84.43,84.89,2346747505
2015-12-01,85.25,86.26,84.61,85.79,2125662040
2015-12-02,85.69,86.29,84.47,84.8,2207882695
2015-12-03,84.98,85.44,82.95,83.5,2702748793
2015-12-04,83.66,85.38,83.2,85.02,2613646813
2015-12-07,84.69,85.28,83.53,84.39,2280974981
2015-12-08,83.68,84.86,82.91,84.1,2386487019
2015-12-09,83.79,84.92,82.61,83.31,2526096469
2015-12-10,83.39,84.37,82.69,83.48,2085765987
2015-12-11,82.49,83.32,81.45,81.97,2548793349
2015-12-14,82.04,82.95,80.91,82.24,2708273621
2015-12-15,82.86,83.97,82.17,83.04,2567468526
2015-12-16,83.54,84.67,82.55,84.2,2629637604
2015-12-17,84.35,84.76,82.7,82.98,2392717817
2015-12-18,82.63,83.22,81.39,81.71,4124454411
2015-12-21,82.26,82.95,81.27,82.23,2065200787
2015-12-22,82.56,83.37,81.71,82.84,1938470191
2015-12-23,83.3,84.17,82.68,83.81,1961144932
2015-12-24,83.73,84.23,83.28,83.7,736263173
2015-12-28,83.43,84.03,82.78,83.68,1345470298
2015-12-29,84.16,85.03,83.74,84.55,1381510021
2015-12-30,84.38,84.85,83.71,83.97,1196763384
2015-12-31,83.64,84.27,82.94,83.21,1463928964
